Regions,Disparity Ratio_Full Time_BABS_NBWNH-FBRace,Score_Full Time_BABS_NBWNH-FBRace,Grades_Full Time_BABS_NBWNH-FBRace,Disparity Ratio-Unemployment_BABS_NBWNH-FBRace,Score_Unemployment_BABS_NBWNH-FBRace,Grades_Unemployment_BABS_NBWNH-FBRace,Disparity Ratio_Poverty_BABS_NBWNH-FBRace,Score_Poverty_BABS_NBWNH-FBRace,Grades_Poverty_BABS_NBWNH-FBRace,Disparity Ratio_Working Poor_BABS_NBWNH-FBRace,Score_Working Poor_BABS_NBWNH-FBRace,Grades_Working Poor_BABS_NBWNH-FBRace,Disparity Ratio-Income_BABS_NBWNH-FBRace,Score_Income_BABS_NBWNH-FBRace,Grades_Income_BABS_NBWNH-FBRace,Disparity Ratio-Rent Burden_BABS_NBWNH-FBRace,Score_Rent Burden_BABS_NBWNH-FBRace,Grades_Rent Burden_BABS_NBWNH-FBRace,Disparity Ratio_Homeownership_BABS_NBWNH-FBRace,Score_Homeownership_BABS_NBWNH-FBRace,Grades_Homeownership_BABS_NBWNH-FBRace
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",0.95,-0.26,C-,0.00,0.41,B-,0.98,0.32,B-,4.62,0.05,C,1.44,1.10,B,0.01,0.49,B-,1.13,0.76,B
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",1.07,0.32,B-,1.99,-0.10,C,5.72,-0.48,C-,10.59,-0.32,C-,0.65,-0.42,C-,0.01,0.49,B-,0.49,-0.95,D
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",0.98,-0.12,C,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.13,0.49,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.69,-0.41,C-
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",0.99,-0.03,C,0.12,0.38,B-,2.58,0.05,C,1.06,0.27,B-,0.99,0.24,C,1.19,-0.09,C,0.93,0.24,C
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",1.00,0.01,C,0.00,0.41,B-,1.25,0.27,B-,2.96,0.16,C,0.77,-0.19,C,2.04,-0.51,C-,1.05,0.54,B-
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",0.66,-1.59,D-,1.21,0.10,C,2.77,0.01,C,0.00,0.34,B-,1.05,0.35,B-,0.33,0.34,B-,2.32,3.93,A
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",0.54,-2.16,E,0.53,0.28,B-,1.76,0.18,C,2.27,0.20,C,0.76,-0.21,C,0.02,0.49,B-,0.83,-0.02,C
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",0.81,-0.90,D,0.65,0.24,C,2.38,0.08,C,3.74,0.11,C,0.48,-0.75,D,0.10,0.45,B-,0.63,-0.57,C-
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",0.94,-0.28,C-,1.69,-0.02,C,2.29,0.09,C,0.00,0.34,B-,0.80,-0.13,C,0.03,0.48,B-,1.09,0.68,B-
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",1.10,0.47,B-,1.65,-0.01,C,2.83,0.00,C,0.00,0.34,B-,0.77,-0.20,C,0.02,0.49,B-,1.24,1.07,B
