Regions,Disparity Ratio_Full Time_HS_FBALLM-F,Score_Full Time_HS_FBALLM-F,Grades_Full Time_HS_FBALLM-F,Disparity Ratio-Unemployment_HS_FBALLM-F,Score_Unemployment_HS_FBALLM-F,Grades_Unemployment_HS_FBALLM-F,Disparity Ratio_Poverty_HS_FBALLM-F,Score_Poverty_HS_FBALLM-F,Grades_Poverty_HS_FBALLM-F,Disparity Ratio_Working Poor_HS_FBALLM-F,Score_Working Poor_HS_FBALLM-F,Grades_Working Poor_HS_FBALLM-F,Disparity Ratio-Income_HS_FBALLM-F,Score_Income_HS_FBALLM-F,Grades_Income_HS_FBALLM-F,Disparity Ratio-Rent Burden_HS_FBALLM-F,Score_Rent Burden_HS_FBALLM-F,Grades_Rent Burden_HS_FBALLM-F,Disparity Ratio_Homeownership_HS_FBALLM-F,Score_Homeownership_HS_FBALLM-F,Grades_Homeownership_HS_FBALLM-F,Disparity Ratio_Naturalization_HS_FBALLM-F,Score_Naturalization_HS_FBALLM-F,Grades_Naturalization_HS_FBALLM-F
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",0.81,-0.40,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.85,-0.12,C,#DIV/0!,#DIV/0!,#DIV/0!,1.07,-0.02,C,1.21,-0.01,C
"Suffolk County (East) PUMA, New York",0.89,-0.04,C,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-0.61,C-,0.00,-0.64,C-,0.34,-0.70,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.90,-0.30,C-,1.51,0.25,C
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",0.97,0.31,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.61,-0.37,C-,0.59,-0.19,C,0.75,-0.24,C,#DIV/0!,#DIV/0!,#DIV/0!,1.58,0.81,B,0.42,-0.69,C-
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",0.89,-0.03,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.91,-0.06,C,#DIV/0!,#DIV/0!,#DIV/0!,1.51,0.71,B-,1.02,-0.18,C
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",0.85,-0.20,C,#DIV/0!,#DIV/0!,#DIV/0!,1.40,-0.07,C,0.00,-0.64,C-,0.48,-0.55,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.70,-0.63,C-,0.90,-0.28,C-
"Suffolk County (Central)--Islip Town (East) PUMA, New York",0.90,0.01,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.33,0.41,B-,0.00,-0.87,D,2.38,2.13,A,1.53,0.26,B-
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",0.71,-0.79,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.73,-0.26,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.09,0.01,C,1.20,-0.02,C
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",0.67,-0.98,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.62,-0.39,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.71,-0.62,C-,2.50,1.10,B
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",1.00,0.44,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.77,-0.31,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.73,-0.26,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.09,0.02,C,1.02,-0.18,C
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",1.17,1.16,B,0.00,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.71,-0.28,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.66,-0.70,C-,0.91,-0.27,C-
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",1.09,0.85,B,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.97,0.01,C,#DIV/0!,#DIV/0!,#DIV/0!,0.42,-1.08,D,0.84,-0.34,C-
