,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership
,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS
,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,SCORES,SCORES,SCORES,SCORES,SCORES,SCORES,SCORES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES
,,,,,,,,,,,,,,,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES
,FT Work Access_BABS_Ratio,Unemployment_BABS_Ratio,Poverty_BABS_Ratio,Working Poor_BABS_Ratio,Income_BABS_Ratio,Rent Burden_BABS_Ratio,Homeownership_BABS_Ratio,FT Work Access_BABS_SCORES,Unemployment_BABS_SCORES,Poverty_BABS_SCORES,Working Poor_BABS_SCORES,Income_BABS_SCORES,Rent Burden_BABS_SCORES,Homeownership_BABS_SCORES,FT Work Access_BABS_GRADES,Unemployment_BABS_GRADES,Poverty_BABS_GRADES,Working Poor_BABS_GRADES,Income_BABS_GRADES,Rent Burden_BABS_GRADES,Homeownership_BABS_GRADES
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",1.26,0.00,0.00,#DIV/0!,0.89,9.59,1.16,0.84,0.30,0.36,#DIV/0!,-0.13,-3.99,0.57,B,B-,B-,#DIV/0!,C,E,B-
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",1.03,0.00,6.50,23.42,0.98,0.90,0.72,0.08,0.30,-0.30,-3.96,0.03,-0.02,-0.35,C,B-,C-,E,C,C,C-
"Putnam County PUMA, New York",0.93,1.80,#DIV/0!,#DIV/0!,0.57,7.34,0.80,-0.27,0.02,#DIV/0!,#DIV/0!,-0.74,-2.96,-0.17,C-,C,#DIV/0!,#DIV/0!,C-,E,C
"Westchester County (Northwest) PUMA, New York",1.00,2.08,4.34,1.58,0.84,#DIV/0!,0.83,-0.03,-0.03,-0.08,0.05,-0.23,#DIV/0!,-0.11,C,C,C,C,C,#DIV/0!,C
"Westchester County (Northeast) PUMA, New York",1.27,1.80,4.31,#DIV/0!,0.53,0.00,0.82,0.87,0.02,-0.08,#DIV/0!,-0.83,0.39,-0.14,B,C,C,#DIV/0!,D,B-,C
"Westchester County (Southeast) PUMA, New York",1.19,4.53,0.00,#DIV/0!,0.53,0.10,0.62,0.60,-0.41,0.36,#DIV/0!,-0.83,0.34,-0.56,B-,C-,B-,#DIV/0!,D,B-,C-
"Westchester County (Central)--White Plains City PUMA, New York",1.40,3.13,0.91,1.59,0.96,0.08,0.83,1.30,-0.19,0.27,0.05,0.00,0.35,-0.12,A-,C,B-,C,C,B-,C
"Westchester County (Southwest)--Yonkers City PUMA, New York",0.82,1.97,0.93,0.00,0.92,#DIV/0!,0.68,-0.65,-0.01,0.26,0.35,-0.09,#DIV/0!,-0.44,C-,C,B-,B-,C,#DIV/0!,C-
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",0.92,18.70,101.46,#DIV/0!,0.48,#DIV/0!,0.51,-0.29,-2.60,-9.81,#DIV/0!,-0.91,#DIV/0!,-0.78,C-,E,E,#DIV/0!,D,#DIV/0!,D
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",1.59,0.00,0.00,#DIV/0!,0.76,#DIV/0!,0.95,1.95,0.30,0.36,#DIV/0!,-0.39,#DIV/0!,0.13,A,B-,B-,#DIV/0!,C-,#DIV/0!,C
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",1.12,2.49,2.42,3.57,0.58,#DIV/0!,0.88,0.38,-0.09,0.11,-0.31,-0.73,#DIV/0!,-0.01,B-,C,C,C-,C-,#DIV/0!,C
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",1.10,1.56,0.88,0.00,0.74,0.23,0.88,0.29,0.05,0.27,0.35,-0.42,0.28,-0.01,B-,C,B-,B-,C-,B-,C
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",1.29,#DIV/0!,0.00,#DIV/0!,1.18,0.04,0.85,0.94,#DIV/0!,0.36,#DIV/0!,0.42,0.37,-0.07,B,#DIV/0!,B-,#DIV/0!,B-,B-,C
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",1.07,1.43,11.89,#DIV/0!,0.78,#DIV/0!,0.74,0.19,0.07,-0.83,#DIV/0!,-0.35,#DIV/0!,-0.31,C,C,D,#DIV/0!,C-,#DIV/0!,C-
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",1.10,0.00,1.56,#DIV/0!,1.01,0.29,0.71,0.31,0.30,0.20,#DIV/0!,0.10,0.25,-0.38,B-,B-,C,#DIV/0!,C,B-,C-
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",1.04,1.42,0.00,#DIV/0!,0.94,#DIV/0!,1.19,0.10,0.08,0.36,#DIV/0!,-0.04,#DIV/0!,0.64,C,C,B-,#DIV/0!,C,#DIV/0!,B-
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",0.98,0.00,0.00,#DIV/0!,0.77,#DIV/0!,1.07,-0.10,0.30,0.36,#DIV/0!,-0.37,#DIV/0!,0.39,C,B-,B-,#DIV/0!,C-,#DIV/0!,B-
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",1.01,0.00,0.00,#DIV/0!,1.52,0.34,1.06,-0.01,0.30,0.36,#DIV/0!,1.06,0.23,0.37,C,B-,B-,#DIV/0!,B,C,B-
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",1.21,#DIV/0!,0.00,0.00,0.58,0.00,0.84,0.66,#DIV/0!,0.36,0.35,-0.74,0.39,-0.09,B-,#DIV/0!,B-,B-,C-,B-,C
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",1.16,0.00,0.00,0.00,0.72,#DIV/0!,0.98,0.49,0.30,0.36,0.35,-0.46,#DIV/0!,0.20,B-,B-,B-,B-,C-,#DIV/0!,C
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",1.30,0.00,0.00,#DIV/0!,0.92,#DIV/0!,0.26,0.99,0.30,0.36,#DIV/0!,-0.08,#DIV/0!,-1.32,B,B-,B-,#DIV/0!,C,#DIV/0!,D-
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",1.24,0.00,28.74,#DIV/0!,0.68,#DIV/0!,1.14,0.78,0.30,-2.52,#DIV/0!,-0.53,#DIV/0!,0.53,B,B-,E,#DIV/0!,C-,#DIV/0!,B-
