Regions,Disparity Ratio_Full Time_HS_NBWNH-FBRace,Score_Full Time_HS_NBWNH-FBRace,Grades_Full Time_HS_NBWNH-FBRace,Disparity Ratio-Unemployment_HS_NBWNH-FBRace,Score_Unemployment_HS_NBWNH-FBRace,Grades_Unemployment_HS_NBWNH-FBRace,Disparity Ratio_Poverty_HS_NBWNH-FBRace,Score_Poverty_HS_NBWNH-FBRace,Grades_Poverty_HS_NBWNH-FBRace,Disparity Ratio_Working Poor_HS_NBWNH-FBRace,Score_Working Poor_HS_NBWNH-FBRace,Grades_Working Poor_HS_NBWNH-FBRace,Disparity Ratio-Income_HS_NBWNH-FBRace,Score_Income_HS_NBWNH-FBRace,Grades_Income_HS_NBWNH-FBRace,Disparity Ratio-Rent Burden_HS_NBWNH-FBRace,Score_Rent Burden_HS_NBWNH-FBRace,Grades_Rent Burden_HS_NBWNH-FBRace,Disparity Ratio_Homeownership_HS_NBWNH-FBRace,Score_Homeownership_HS_NBWNH-FBRace,Grades_Homeownership_HS_NBWNH-FBRace
"Onondaga County (North) PUMA, New York",1.0232866009,0.1785475402,C,0,0.4937454477,B-,1.2211686159,0.3005534339,B-,3.2716918029,0.1990048362,C,0.7143363173,-0.0313197599,C,#DIV/0!,#DIV/0!,#DIV/0!,0.8304972562,0.1954323121,C
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",1.265125142,0.9970891048,B,0,0.4937454477,B-,2.2398624935,-0.2537830426,C-,13.0948029459,-1.2120850487,D,0.3594333679,-1.1103738381,D,0,0.4587891429,B-,0.6364683361,-0.2711399839,C-
"Cayuga & Onondaga (South) Counties PUMA, New York",0.2783259304,-2.3428920543,E,0,0.4937454477,B-,0,0.9650693622,B,0,0.6689833534,B-,1.3088005933,1.7761014024,A,#DIV/0!,#DIV/0!,#DIV/0!,1.047059917,0.7161904435,B-
"Wayne & Seneca Counties PUMA, New York",0.2186554431,-2.5448564466,E,0,0.4937454477,B-,0,0.9650693622,B,0,0.6689833534,B-,1.425113831,2.1297425137,A,#DIV/0!,#DIV/0!,#DIV/0!,0.3629483307,-0.9288607857,D
"Monroe County (East) PUMA, New York",1.2768072635,1.0366291302,B,0,0.4937454477,B-,0,0.9650693622,B,0,0.6689833534,B-,0.6960601167,-0.0868870885,C,#DIV/0!,#DIV/0!,#DIV/0!,1.2195757844,1.1310313047,B
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.8491353385,-0.4108955083,C-,0,0.4937454477,B-,0.782293137,0.5393736447,B-,1.1862007414,0.4985856207,B-,0.640613457,-0.2554682298,C-,0,0.4587891429,B-,0.7942768154,0.1083347071,C
"Monroe County (Central)--Rochester City (West) PUMA, New York",1.1358595419,0.5595688234,B-,0,0.4937454477,B-,1.5754934211,0.107742651,C,2.6179813398,0.2929103422,B-,0.571791337,-0.4647163903,C-,0,0.4587891429,B-,0.6590672729,-0.2167973744,C
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",1.2237882868,0.8571778483,B,0,0.4937454477,B-,0,0.9650693622,B,0,0.6689833534,B-,0.8022678246,0.2360289665,C,#DIV/0!,#DIV/0!,#DIV/0!,1.2312281067,1.1590511008,B
"Monroe County (North & West) PUMA, New York",1.2737501223,1.0262817424,B,0,0.4937454477,B-,0,0.9650693622,B,0,0.6689833534,B-,1.4697380927,2.2654190181,A,#DIV/0!,#DIV/0!,#DIV/0!,1.2483054772,1.2001162573,B
"Monroe County (South) PUMA, New York",1.1926065099,0.7516380932,B,0,0.4937454477,B-,1.9617368282,-0.1024370841,C,7.3138059701,-0.3816448512,C-,0.5579368706,-0.506839789,C-,0.2839521571,0.182711002,C,1.2989997674,1.3220184529,A-
