Regions,Full Time_Ratio,Full Time_BABS_Ratio,Poverty_BABS_Ratio,Income_BABS_Ratio,Homeownership_BABS_Ratio,Unemployment_BABS_SCORES,Working Poor_BABS_SCORES,Rent Burden_BABS_SCORES,Full Time_BABS_GRADES,Poverty_BABS_GRADES,Income_BABS_GRADES
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",1.03,0.74,0.76,#DIV/0!,1.11,#DIV/0!,0.86,0.15,0.23,0.51,#DIV/0!,0.13,#DIV/0!,-0.11,C,C,B-,#DIV/0!,C,#DIV/0!,C
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",1.08,0.00,1.74,#DIV/0!,1.09,0.00,0.48,0.33,0.30,0.20,#DIV/0!,0.10,0.47,-1.06,B-,B-,C,#DIV/0!,C,B-,D
"Suffolk County (Central)--Islip Town (East) PUMA, New York",0.76,0.00,0.00,0.00,1.28,0.00,1.05,-0.97,0.30,0.75,0.50,0.36,0.47,0.37,D,B-,B,B-,B-,B-,B-
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",0.87,#DIV/0!,0.37,1.42,0.76,#DIV/0!,1.23,-0.51,#DIV/0!,0.64,0.21,-0.34,#DIV/0!,0.84,C-,#DIV/0!,B-,C,C-,#DIV/0!,B
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",0.85,#DIV/0!,1.33,#DIV/0!,0.66,#DIV/0!,0.75,-0.59,#DIV/0!,0.33,#DIV/0!,-0.47,#DIV/0!,-0.39,C-,#DIV/0!,B-,#DIV/0!,C-,#DIV/0!,C-
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",1.23,1.24,9.84,#DIV/0!,0.63,0.00,1.08,0.97,0.18,-2.38,#DIV/0!,-0.52,0.47,0.45,B,C,E,#DIV/0!,C-,B-,B-
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",1.19,0.00,0.00,#DIV/0!,0.87,0.00,0.73,0.80,0.30,0.75,#DIV/0!,-0.19,0.47,-0.44,B,B-,B,#DIV/0!,C,B-,C-
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",1.11,0.00,0.00,#DIV/0!,0.85,0.00,0.64,0.48,0.30,0.75,#DIV/0!,-0.22,0.47,-0.66,B-,B-,B,#DIV/0!,C,B-,C-
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",0.81,2.51,6.17,10.14,0.61,3.73,0.96,-0.79,0.05,-1.22,-1.56,-0.54,-0.48,0.14,D,C,D,D-,C-,C-,C
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",0.81,0.62,0.22,0.46,0.72,0.00,1.09,-0.75,0.24,0.68,0.41,-0.39,0.47,0.48,D,C,B-,B-,C-,B-,B-
