Region,FT Work Access_HS_Ratio,Unemployment_HS_Ratio,Poverty_HS_Ratio,Working Poor_HS_Ratio,Income_HS_Ratio,Rent Burden_HS_Ratio,Homeownership_HS_Ratio,FT Work Access_HS_SCORES,Unemployment_HS_SCORES,Poverty_HS_SCORES,Working Poor_HS_SCORES,Income_HS_SCORES,Rent Burden_HS_SCORES,Homeownership_HS_SCORES,FT Work Access_HS_GRADES,Unemployment_HS_GRADES,Poverty_HS_GRADES,Working Poor_HS_GRADES,Income_HS_GRADES,Rent Burden_HS_GRADES,Homeownership_HS_GRADES
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",1.13,0.28,1.26,#DIV/0!,0.81,0.21,1.24,0.31,0.32,0.20,#DIV/0!,0.08,0.14,0.80,B-,B-,C,#DIV/0!,C,C,B
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",1.44,#DIV/0!,3.71,#DIV/0!,0.70,0.01,0.12,1.00,#DIV/0!,-1.15,#DIV/0!,-0.20,0.18,-1.25,B,#DIV/0!,D,#DIV/0!,C,C,D-
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",0.58,0.77,1.92,0.59,0.98,0.05,0.38,-0.90,0.17,-0.16,0.33,0.48,0.17,-0.76,D,C,C,B-,B-,C,D
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",0.85,0.93,2.07,#DIV/0!,0.70,0.30,3.12,-0.30,0.13,-0.25,#DIV/0!,-0.19,0.12,4.26,C-,C,C,#DIV/0!,C,C,A
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",1.42,0.74,1.97,1.48,0.73,0.13,0.60,0.95,0.19,-0.19,0.27,-0.13,0.15,-0.38,B,C,C,B-,C,C,C-
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",1.30,0.51,1.13,#DIV/0!,0.83,0.00,0.99,0.68,0.25,0.27,#DIV/0!,0.13,0.18,0.35,B-,B-,B-,#DIV/0!,C,C,B-
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",0.83,0.81,1.12,#DIV/0!,0.61,0.00,0.83,-0.34,0.16,0.28,#DIV/0!,-0.43,0.18,0.05,C-,C,B-,#DIV/0!,C-,C,C
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",0.95,0.35,1.53,#DIV/0!,0.68,0.06,1.55,-0.08,0.30,0.05,#DIV/0!,-0.25,0.17,1.37,C,B-,C,#DIV/0!,C,C,A-
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",1.07,#DIV/0!,1.01,#DIV/0!,0.90,0.19,0.39,0.17,#DIV/0!,0.34,#DIV/0!,0.28,0.14,-0.76,C,#DIV/0!,B-,#DIV/0!,B-,C,D
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",1.06,0.00,0.06,#DIV/0!,0.47,0.11,1.05,0.16,0.40,0.86,#DIV/0!,-0.76,0.16,0.46,C,B-,B,#DIV/0!,D,C,B-
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",0.83,0.64,2.08,1.67,0.95,0.05,0.52,-0.34,0.21,-0.25,0.26,0.41,0.17,-0.52,C-,C,C,B-,B-,C,C-
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",0.95,0.87,2.95,#DIV/0!,0.75,0.09,0.54,-0.09,0.15,-0.73,#DIV/0!,-0.08,0.16,-0.48,C,C,C-,#DIV/0!,C,C,C-
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",1.04,2.17,3.57,3.11,0.50,0.04,0.75,0.11,-0.23,-1.07,0.16,-0.67,0.17,-0.10,C,C,D,C,C-,C,C
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",#DIV/0!,#DIV/0!,0.58,#DIV/0!,#VALUE!,#DIV/0!,0.43,#DIV/0!,#DIV/0!,0.57,#DIV/0!,#VALUE!,#DIV/0!,-0.68,#DIV/0!,#DIV/0!,B-,#DIV/0!,#VALUE!,#DIV/0!,C-
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",0.96,3.25,4.58,#DIV/0!,0.68,#DIV/0!,0.92,-0.07,-0.55,-1.63,#DIV/0!,-0.24,#DIV/0!,0.21,C,C-,D-,#DIV/0!,C,#DIV/0!,C
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",0.41,#DIV/0!,3.79,#DIV/0!,1.02,0.47,0.42,-1.29,#DIV/0!,-1.19,#DIV/0!,0.58,0.09,-0.70,D-,#DIV/0!,D,#DIV/0!,B-,C,C-
