Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",1.473,2.2457479568,A,1.8574180852,1.9049000147,A,0.1305117353,0.458440793,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",1.063,0.2975865562,B-,1.8675138505,1.9243770437,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4706281546,-0.9862573974,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",1.102,0.4841804096,B-,0.7179753104,-0.2933444343,C-,2.4294536159,0.0708235253,C,#DIV/0!,#DIV/0!,#DIV/0!,0.8143217364,-0.0708854477,C,0.4206060304,0.3752637958,B-,0.3829665241,0.31357506,B-,,,
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",1.101,0.4771079081,B-,0.6126346004,-0.4965706392,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.5780440022,-0.7001727595,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",1.264,1.2527287263,A-,1.2390005839,0.7118319033,B-,1.655168613,0.2013732533,C,0,0.3395229644,B-,2.7389973178,5.0551748942,A,3.0350204687,-0.1039930054,C,5.478494421,-0.9959944704,D,,,
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",1.071,0.3359104838,B-,1.0960606979,0.4360683303,B-,1.5447834016,0.2199849522,C,1.9706014391,0.2172803171,C,1.1948976262,0.94271653,B,0.7021371658,0.323655409,B-,3.8674122116,-0.5819403792,C-,,,
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",1.123,0.5822776114,B-,0.6810758954,-0.3645318041,C-,2.6019111888,0.0417460033,C,3.9702499393,0.0932357886,C,1.3399516785,1.3290444038,A-,2.6689305527,-0.036883874,C,1.9356280395,-0.0854646966,C,,,
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",1.084,0.3993471828,B-,0.6053553413,-0.5106139869,C-,3.8803936523,-0.1738148525,C,15.809787234,-0.6412082004,C-,0.7470535989,-0.25004319,C-,1.9506175115,0.0947924223,C,0,0.4119988743,B-,,,
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",1.019,0.0865266248,C,0.9538537889,0.1617188367,C,2.5610958227,0.0486277521,C,2.683266829,0.1730714262,C,0.4555927057,-1.0263018698,D,2.1849556447,0.0518351381,C,0.3043124563,0.3337894466,B-,,,
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",1.141,0.670364999,B-,0.6491997004,-0.4260282391,C-,0.8264946512,0.3410933304,B-,3.5093962415,0.1218240028,C,0.8880434263,0.1254602817,C,0,0.4523664531,B-,#DIV/0!,#DIV/0!,#DIV/0!,,,
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",1.132,0.6258016732,B-,0.8982362134,0.0544198749,C,1.2407165398,0.2712526972,B-,2.4244010114,0.1891296926,C,0.9929406526,0.4048369814,B-,0.8341918254,0.2994480405,B-,0.2539361708,0.3467363384,B-,,,
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",1.026,0.1217049617,C,1.088679999,0.4218292822,B-,1.1003857543,0.294913424,B-,3.1694774198,0.1429102437,C,0.6786523598,-0.4322187641,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",0.998,-0.0123446838,C,1.0192037674,0.2877938187,B-,2.7861389834,0.0106839417,C,4.7737583884,0.0433916151,C,1.0979267617,0.6844504059,B-,2.3622999383,0.0193255797,C,2.9671395614,-0.3505669758,C-,,,
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",1.152,0.7201134813,B-,0.8486918753,-0.0411624296,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.7607153235,-0.2136574088,C,2.7989438047,-0.0607170254,C,#DIV/0!,#DIV/0!,#DIV/0!,,,
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",1.054,0.2566316081,B-,0.8376943732,-0.062379114,C,2.3818119693,0.0788562316,C,4.3475151147,0.0698328351,C,0.8224135736,-0.0493341555,C,3.2485197835,-0.1431302582,C,0.8779373722,0.1863657199,C,,,
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",1.075,0.3538006775,B-,0.7539223603,-0.2239943934,C,4.4534232924,-0.2704315549,C-,3.3156924956,0.1338400595,C,1.071716745,0.6146442898,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",1.074,0.352044956,B-,0.6900556186,-0.3472078741,C-,0.4042757832,0.4122823089,B-,0.1509658789,0.3301580729,B-,1.3069361665,1.2411129578,B,0,0.4523664531,B-,0.6681591004,0.2402795123,C,,,
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",1.043,0.2021603603,C,0.7567053203,-0.2186254301,C,11.1803169783,-1.404631672,D-,#DIV/0!,#DIV/0!,#DIV/0!,0.7353746212,-0.2811482473,C-,6.6854336514,-0.7731621009,D,1.0079940063,0.1529406836,C,,,
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",0.950,-0.2374464861,C,0.6584384285,-0.4082046299,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.3801222932,-1.2273050374,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",1.022,0.1027006829,C,0.9550544554,0.1640351957,C,1.0479126251,0.3037607511,B-,0.9007281853,0.2836479428,B-,1.2810595792,1.1721948766,B,0.8948526795,0.2883281024,B-,1.8140087522,-0.0542080896,C,,,
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",0.949,-0.2456810826,C,0.7233126209,-0.2830475475,C-,1.1482247739,0.2868474393,B-,0.4904784449,0.3090970333,B-,1.2684782746,1.1386866183,B,3.3857827297,-0.1682923746,C,1.0758082411,0.1355121742,C,,,
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",1.013,0.0617068905,C,0.6975163891,-0.3328143497,C-,1.3736600381,0.2488375174,C,0.7834813326,0.2909211364,B-,1.0293342104,0.5017653028,B-,1.7789707951,0.1262575394,C,0.3023422251,0.3342958033,B-,,,
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",0.986,-0.0696364411,C,0.6473386629,-0.4296186041,C-,4.3859664168,-0.259057866,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.9168719555,0.20224038,C,#DIV/0!,#DIV/0!,#DIV/0!,9.4081857724,-2.0059396934,E,,,
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",0.874,-0.6004103694,C-,0.7916395334,-0.1512293821,C,1.0193876968,0.3085702484,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.4483968735,-1.0454667983,D,#DIV/0!,#DIV/0!,#DIV/0!,0.6964640307,0.2330050404,C,,,
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",0.842,-0.7501167497,D,1.1629496873,0.5651124147,B-,4.66169279,-0.3055472115,C-,2.1858805446,0.2039258725,C,0.9212017451,0.2137720704,C,#DIV/0!,#DIV/0!,#DIV/0!,3.6009805577,-0.513466458,C-,,,
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",1.217,1.0310817305,B,0.5403840624,-0.6359583712,C-,0.8411026252,0.3386303265,B-,0,0.3395229644,B-,1.2926680918,1.2031122617,B,0,0.4523664531,B-,2.5816545105,-0.2514958909,C-,,,
