Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",0.852,-0.1992041436,C,1.0157158511,0.0627941667,C,0.1752588221,-0.5383480213,C-,0.1854939584,-0.4950672459,C-,0.8050884109,-0.4542857703,C-,0.5494111284,-0.5191948476,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.8430780414,-0.3302219941,C-
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",0.841,-0.2456023458,C,1.1660181549,0.233653319,C,0.5191163059,-0.4068264842,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,-0.6071523851,C-,1.8922010718,0.572847458,B-
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",0.752,-0.626174818,C-,1.1817601388,0.2515483343,B-,0.4763596111,-0.4231804288,C-,0.3719704146,-0.352965386,C-,0.0683623382,-1.6628124292,D-,0.6626865483,-0.4464171933,C-,0.383768223,-0.3928804619,C-,1.1619240225,-0.0557641306,C
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1.022,0.5345750185,B-,2.0092219042,1.1921820589,B,0.354198615,-0.4699056063,C-,0,-0.6364204067,C-,4.4848265896,5.5819627781,A,0.6778363384,-0.4366836943,C-,0.2921678154,-0.4440243407,C-,1.1414585948,-0.0733804655,C
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",0.920,0.0943648906,C,1.2347749647,0.3118139988,B-,0.7916393209,-0.3025895619,C-,0,-0.6364204067,C-,1.1535733466,0.1173694903,C,0.7135464593,-0.4137405101,C-,0.7947547537,-0.1634115558,C,1.0609590662,-0.1426732587,C
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",0.774,-0.5324789174,C-,1.0203791876,0.0680953078,C,0.7250569297,-0.3280565616,C-,0,-0.6364204067,C-,0.3442552736,-1.2102372052,D,0.5837554312,-0.4971291797,C-,0,-0.6071523851,C-,0.9808347693,-0.211643058,C
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",0.747,-0.6476708357,C-,0.5300592764,-0.4892856656,C-,4.7543343521,1.2130957616,B,2.4384741311,1.2217858064,B,1.0931088565,0.0181834415,C,6.3191414623,3.1877650541,A,#DIV/0!,#DIV/0!,#DIV/0!,1.3929899647,0.143133985,C
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",0.872,-0.1122327213,C,0.4949746903,-0.5291687712,C-,0.7202192908,-0.3299069029,C-,0,-0.6364204067,C-,0.6577043424,-0.6960548382,C-,0.1639053638,-0.7668761652,D,#DIV/0!,#DIV/0!,#DIV/0!,1.3815292354,0.1332687602,C
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",0.804,-0.4028141117,C-,1.0254455026,0.0738545428,C,1.8536525449,0.1036182952,C,0.3991899362,-0.3322231179,C-,1.3736927879,0.4784537831,B-,1.6882046727,0.2124618782,C,1.1540673772,0.0372059061,C,1.2883135578,0.0530300957,C
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",0.865,-0.1428578334,C,0.5790270868,-0.433620527,C-,0.1802590713,-0.5364354835,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.8727621606,1.2971280013,A-,#DIV/0!,#DIV/0!,#DIV/0!,0,-0.6071523851,C-,0.8056738863,-0.3624189327,C-
