Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",1.127,0.7864516169,B,1.0010080054,-0.0326634389,C,0.6554734077,0.4124037981,B-,0,0.3994654433,B-,1.0261736363,0.4124332619,B-,0.659793343,0.267246817,B-,10.5631264558,-2.2146435692,E,,,
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",1.076,0.482201419,B-,0.730599061,-0.4710046192,C-,1.0566796736,0.3112842477,B-,2.0183383556,0.2114517496,C,0.6824049945,-0.5667972154,C-,1.1915425779,0.1838190395,C,0.2314634513,0.4347513646,B-,,,
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",0.929,-0.3864482101,C-,0.8906451353,-0.2115650313,C,0.8545286157,0.3622341601,B-,0.6442511179,0.3394517038,B-,0.9058650675,0.0697323785,C,0.7825674517,0.2479844084,C,2.5288087243,-0.1543672434,C,,,
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",1.059,0.3838194457,B-,0.6810468571,-0.5513302593,C-,1.377536913,0.2304157704,C,6.7065262439,-0.2252656716,C,0,-2.5106387625,E,0.5606858938,0.2827960903,B-,0,0.4941065811,B-,,,
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",1.368,2.2151747133,A,0.8674659174,-0.2491392534,C,2.0660878471,0.0568742113,C,12.6196752915,-0.7760915482,D,0.0567923098,-2.3488649591,E,3.3268330733,-0.151193272,C,0.8624582244,0.2729425295,B-,,,
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",0.906,-0.5212115038,C-,0.6829757744,-0.5482034254,C-,3.0413143298,-0.1889207123,C,14.7849463722,-0.9777924239,D,1.2813916057,1.1394257321,B,4.3874015497,-0.3175891312,C-,0,0.4941065811,B-,,,
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",1.035,0.2425443247,C,0.8506046163,-0.2764719389,C-,0.5219309047,0.4460616919,B-,0,0.3994654433,B-,0.2229883536,-1.8754528689,E,0.2831490238,0.3263397058,B-,1.3664171627,0.1437100664,C,,,
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",0.975,-0.1141809744,C,0.5614325896,-0.7452286502,C-,1.1907103836,0.2775033068,B-,1.5943536071,0.2509470792,B-,0.4147245313,-1.3292892985,D-,1.8664987397,0.0779230856,C,2.3133932451,-0.0991272807,C,,,
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1.178,1.0909532143,B,0.6752997937,-0.5606464251,C-,1.7033461395,0.1482992002,C,1.3995790022,0.2690908621,B-,0.6142150277,-0.761037427,D,2.5191942807,-0.0244803309,C,2.7295194682,-0.2058364046,C,,,
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",0.882,-0.6676022562,C-,0.7083911798,-0.5070042748,C-,1.4045160636,0.2236159773,C,1.5663773056,0.2535531476,B-,1.377768451,1.4139567182,A-,1.521277931,0.132085843,C,0.6910300805,0.3169026215,B-,,,
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",0.916,-0.4641029722,C-,1.2827789946,0.424095964,B-,0.9766835405,0.331446378,B-,0.659123565,0.338066295,B-,0.9267487534,0.1292198921,C,1.4524712654,0.1428811329,C,0.1996649857,0.4429055885,B-,,,
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",0.960,-0.2021831161,C,0.8787070379,-0.2309170529,C,1.79260671,0.1258020721,C,3.6668574587,0.0578877226,C,0.6807270606,-0.5715768369,C-,1.70788352,0.1028087166,C,0,0.4941065811,B-,,,
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",1.024,0.1763569521,C,1.0126648932,-0.0137672669,C,0.7297609708,0.393680449,B-,6.5492611726,-0.2106160035,C,0.460069065,-1.2001246686,D,0.9936015865,0.2148746121,C,0.310854056,0.4143928738,B-,,,
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",0.973,-0.1240233619,C,0.8017678126,-0.3556378934,C-,4.1593817378,-0.470717093,C-,3.8698542964,0.0389780164,C,0.9372192119,0.1590451605,C,2.3889051629,-0.0040388694,C,3.2901623709,-0.3496045923,C-,,,
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",1.000,0.0326248298,C,1.0251961463,0.0065462782,C,2.1792731174,0.0283471303,C,0,0.3994654433,B-,0.9979148384,0.331937624,B-,0.5777709863,0.2801155575,B-,1.783321371,0.0368014403,C,,,
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",0.945,-0.2911037912,C-,1.5134207739,0.7979733518,B,0.5327022132,0.4433469041,B-,4.2096043491,0.0073293772,C,1.8381783774,2.7254417614,A,0.7432936,0.2541462041,B-,0,0.4941065811,B-,,,
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",1.056,0.3664973688,B-,0.8473892269,-0.2816841836,C-,2.8819939316,-0.1487657885,C,4.0083494423,0.0260768178,C,0.669319569,-0.6040712593,C-,3.0102544589,-0.1015242768,C,1.7158286133,0.0541089125,C,,,
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",1.045,0.2998412134,B-,0.910360022,-0.1796065962,C,3.405390755,-0.2806821018,C-,12.889783117,-0.801252825,D,1.0022003312,0.3441449189,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.8520938518,0.2756003123,B-,,,
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",1.020,0.1539139042,C,0.7865342508,-0.3803319636,C-,2.3767658255,-0.0214286971,C,1.9976338067,0.2133804345,C,0.8662465412,-0.0431216277,C,2.0661302257,0.046602286,C,0.7164905585,0.3103736763,B-,,,
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",0.979,-0.0898972772,C,0.8326414093,-0.3055908476,C-,2.1968894522,0.0239071302,C,4.1752936889,0.0105255083,C,1.0102734869,0.367141432,B-,0,0.3707638295,B-,0.3340165543,0.4084532099,B-,,,
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",0.761,-1.3843465928,D-,1.096561225,0.1222312564,C,3.7075859837,-0.3568470281,C-,0.6890580802,0.3352778137,B-,1.8468357279,2.7501023627,A,1.6245764403,0.1158790213,C,5.0017074729,-0.7885038208,D,,,
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",0.580,-2.4589987716,E,0.7167339585,-0.493480375,C-,1.5199451643,0.194523364,C,1.7891162723,0.2328044085,C,0.5794954044,-0.8599368297,D,2.0200340782,0.0538344528,C,0.3870787327,0.3948462362,B-,,,
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",0.939,-0.3295257943,C-,1.1024324179,0.1317486399,C,2.0575061284,0.0590371375,C,4.1958078676,0.0086145569,C,0.6250368171,-0.7302113866,C-,4.0878800026,-0.2705962719,C-,0.5265967762,0.3590689952,B-,,,
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",0.917,-0.4594846479,C-,1.2499269873,0.3708418539,B-,2.2864171067,0.0013426866,C,0.5614799835,0.3471620595,B-,1.1718303414,0.8273387174,B,1.8065611377,0.0873268808,C,0.9123069644,0.2601595923,B-,,,
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",1.072,0.4601205874,B-,0.8936924167,-0.2066252948,C,1.1593499309,0.2854073581,B-,0,0.3994654433,B-,0.8987093026,0.0493490676,C,0.6083355671,0.2753201861,B-,1.5211497295,0.1040312965,C,,,
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",1.042,0.2813655213,B-,1.2723205267,0.4071424672,B-,3.6541132091,-0.3433698135,C-,8.9066945823,-0.4302173215,C-,0.8275151656,-0.1534485709,C,0.8703903257,0.2342056068,C,2.1146657798,-0.0481667007,C,,,
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",1.012,0.1054839316,C,1.1800799482,0.2576176645,B-,0.294455873,0.5033942285,B-,0,0.3994654433,B-,2.3313706464,4.1303078319,A,4.0802607089,-0.2694008574,C-,0,0.4941065811,B-,,,
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",0.978,-0.0972181772,C,1.0897919111,0.1112579913,C,1.6802642625,0.154116729,C,0.5660269793,0.3467384945,B-,0.9856558344,0.2970176551,B-,0.707700584,0.2597305022,B-,0.2461591704,0.430982875,B-,,,
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",1.051,0.3356477984,B-,0.9781858503,-0.0696588514,C,2.2204464791,0.0179698452,C,4.9365053635,-0.0603834244,C,1.0179223514,0.3889293449,B-,0.4172707453,0.3052969353,B-,0.4561708885,0.3771286231,B-,,,
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",1.000,0.0330280483,C,0.8500875745,-0.2773100795,C-,0.5153310866,0.4477251022,B-,1.0719711272,0.2996084245,B-,0.7219487588,-0.4541561699,C-,1.2964188828,0.1673646725,C,0.5180331951,0.3612649929,B-,,,
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",1.096,0.6047510605,B-,1.1764831706,0.2517871779,B-,1.5368776045,0.1902557319,C,0.5107722092,0.3518856263,B-,2.3988786787,4.3226055423,A,2.2998500656,0.0099332595,C,3.3363125638,-0.3614390944,C-,,,
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",1.005,0.0634356886,C,1.0640492137,0.0695282903,C,0.887080126,0.3540299161,B-,0.7744577937,0.3273225987,B-,0.9438343313,0.1778884342,C,0.6904247136,0.2624409668,B-,2.3354151374,-0.1047744539,C,,,
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",1.050,0.3316180456,B-,0.7691610165,-0.4084945084,C-,2.1621533013,0.0326619884,C,2.4354260636,0.172598898,C,0.9337294509,0.1491045207,C,2.2831967708,0.0125460463,C,1.4104819677,0.1324103297,C,,,
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",1.132,0.8199243679,B,0.8156215597,-0.333180545,C-,3.1933393987,-0.22723693,C,13.4096279215,-0.8496777789,D,0.9062552834,0.0708439148,C,1.6545414832,0.1111777133,C,0.2888532713,0.4200346342,B-,,,
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",0.937,-0.3389112768,C-,0.803237914,-0.353254814,C-,1.8494333031,0.1114795651,C,2.0791396089,0.2057879479,C,0.5949881449,-0.8158055102,D,1.7856056585,0.0906146506,C,1.2557229017,0.1720958949,C,,,
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",1.099,0.6221808352,B-,0.9390555624,-0.1330902464,C,1.1665321101,0.2835971702,B-,3.1455510029,0.1064488333,C,0.8407695761,-0.1156931706,C,0.7383090241,0.2549282496,B-,2.8977666973,-0.2489808002,C,,,
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",1.096,0.6021981582,B-,1.0029651071,-0.0294909171,C,1.1101481531,0.2978081157,B-,1.2371723364,0.2842194837,B-,0.8317003626,-0.1415269701,C,0.9418237258,0.2229982004,C,0.2885598336,0.4201098818,B-,,,
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",1.124,0.7673355937,B,1.4052172109,0.6225720623,B-,0.4767783374,0.4574418913,B-,2.1867464962,0.1957640744,C,1.0867351115,0.5849435931,B-,1.8288016677,0.0838374955,C,#DIV/0!,#DIV/0!,#DIV/0!,,,
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",1.042,0.2863270356,B-,0.913549526,-0.1744363126,C,2.3248775316,-0.0083508332,C,4.6019759935,-0.029221106,C,1.2461557826,1.039055926,B,2.3986675933,-0.0055705272,C,2.4458958663,-0.1331055254,C,,,
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",1.130,0.8067431106,B,0.9761827126,-0.072905999,C,2.0288990818,0.0662472235,C,6.2085101073,-0.1788741173,C,1.0392767135,0.4497575871,B-,1.90327409,0.0721532874,C,2.3142680977,-0.0993516231,C,,,
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",1.038,0.2577190031,B-,0.9188782955,-0.165798214,C,1.6056625267,0.1729192619,C,3.210758941,0.1003745369,C,0.9537729527,0.2061987562,C,2.7497785951,-0.0606574151,C,0.6470877263,0.3281709575,B-,,,
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",1.040,0.2686065537,B-,0.806290476,-0.3483065175,C-,2.3753294152,-0.021066666,C,2.1232781045,0.2016763273,C,0.9537773724,0.2062113458,C,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
